(
0.00	-0.072
0.02	-0.071
0.04	-0.063
0.06	-0.043
0.08	-0.012
0.10	0.023
0.12	0.064
0.14	0.100
0.16	0.134
0.18	0.184
0.20	0.265
0.22	0.387
0.24	0.546
0.26	0.729
0.28	0.925
0.30	1.129
0.32	1.343
0.34	1.569
0.36	1.806
0.38	2.044
0.40	2.271
0.42	2.479
0.44	2.668
0.46	2.844
0.48	3.013
0.50	3.176
0.52	3.327
0.54	3.461
0.56	3.573
0.58	3.667
0.60	3.746
0.62	3.815
0.64	3.875
0.66	3.917
0.68	3.941
0.70	3.943
0.72	3.926
0.74	3.894
0.76	3.852
0.78	3.796
0.80	3.724
0.82	3.631
0.84	3.519
0.86	3.391
0.88	3.254
0.90	3.107
0.92	2.949
0.94	2.776
0.96	2.588
0.98	2.384
1.00	2.170
1.02	1.950
1.04	1.725
1.06	1.495
1.08	1.257
1.10	1.009
1.12	0.753
1.14	0.493
1.16	0.233
1.18	-0.024
1.20	-0.279
1.22	-0.535
1.24	-0.791
1.26	-1.047
1.28	-1.299
1.30	-1.545
1.32	-1.781
1.34	-2.009
1.36	-2.230
1.38	-2.444
1.40	-2.649
1.42	-2.841
1.44	-3.018
1.46	-3.180
1.48	-3.328
1.50	-3.462
1.52	-3.581
1.54	-3.684
1.56	-3.768
1.58	-3.833
1.60	-3.886
1.62	-3.923
1.64	-3.943
1.66	-3.942
1.68	-3.921
1.70	-3.881
1.72	-3.824
1.74	-3.750
1.76	-3.661
1.78	-3.556
1.80	-3.436
1.82	-3.300
1.84	-3.147
1.86	-2.981
1.88	-2.802
1.90	-2.612
1.92	-2.410
1.94	-2.199
1.96	-1.977
1.98	-1.746
2.00	-1.507
2.02	-1.263
2.04	-1.015
2.06	-0.763
2.08	-0.508
2.10	-0.249
2.12	0.012
2.14	0.272
2.16	0.529
2.18	0.781
2.20	1.030
2.22	1.276
2.24	1.518
2.26	1.754
2.28	1.982
2.30	2.198
2.32	2.405
2.34	2.600
2.36	2.787
2.38	2.963
2.40	3.127
2.42	3.277
2.44	3.411
2.46	3.530
2.48	3.633
2.50	3.723
2.52	3.799
2.54	3.862
2.56	3.909
2.58	3.938
2.60	3.947
2.62	3.934
2.64	3.909
2.66	3.869
2.68	3.815
2.70	3.744
2.72	3.656
2.74	3.552
2.76	3.433
2.78	3.302
2.80	3.159
2.82	3.002
2.84	2.832
2.86	2.647
2.88	2.450
2.90	2.243
2.92	2.029
2.94	1.806
2.96	1.576
2.98	1.338
3.00	1.091
3.02	0.839
3.04	0.583
3.06	0.326
3.08	0.068
3.10	-0.190
3.12	-0.448
3.14	-0.706
3.16	-0.962
3.18	-1.214
3.20	-1.461
3.22	-1.701
3.24	-1.932
3.26	-2.154
3.28	-2.369
3.30	-2.575
3.32	-2.771
3.34	-2.954
3.36	-3.123
3.38	-3.277
3.40	-3.416
3.42	-3.541
3.44	-3.651
3.46	-3.744
3.48	-3.818
3.50	-3.877
3.52	-3.918
3.54	-3.942
3.56	-3.944
3.58	-3.927
3.60	-3.895
3.62	-3.845
3.64	-3.777
3.66	-3.691
3.68	-3.588
3.70	-3.471
3.72	-3.341
3.74	-3.197
3.76	-3.037
3.78	-2.863
3.80	-2.675
3.82	-2.476
3.84	-2.267
3.86	-2.049
3.88	-1.823
3.90	-1.587
3.92	-1.344
3.94	-1.094
3.96	-0.840
3.98	-0.583
4.00	-0.327
4.02	-0.070
4.04	0.187
4.06	0.444
4.08	0.699
4.10	0.952
4.12	1.201
4.14	1.443
4.16	1.678
4.18	1.905
4.20	2.125
4.22	2.337
4.24	2.540
